crowdedness,dhall,datetime
6,BK,2019-05-06 12:51:07.060002
7,TD,2019-05-06 12:51:07.065010
4,ES,2019-05-06 12:51:07.066012
4,MY,2019-05-06 12:51:07.068015
3,DC,2019-05-06 12:57:43.826068
6,MC,2019-05-06 12:57:43.826069
4,JE,2019-05-06 12:57:43.826070
6,TD,2019-05-06 12:57:43.827073
4,BF,2019-05-06 12:57:43.829077
5,BK,2019-05-06 13:02:49.989003
5,JE,2019-05-06 13:02:49.993008
3,PC,2019-05-06 13:02:49.994009
3,SY,2019-05-06 13:02:49.996012
4,TC,2019-05-06 13:02:49.997014
5,BF,2019-05-06 13:02:49.998015
3,GH,2019-05-06 13:06:18.791004
6,BK,2019-05-06 13:10:54.338001
5,MC,2019-05-06 13:10:54.343005
5,TD,2019-05-06 13:10:54.345009
4,BF,2019-05-06 13:10:54.347013
2,BR,2019-05-06 13:17:15.066005
4,JE,2019-05-06 13:17:15.069009
3,SM,2019-05-06 13:17:15.070011
4,TD,2019-05-06 13:17:15.070012
3,BF,2019-05-06 13:17:15.073016
3,MY,2019-05-06 13:17:15.074017
5,BK,2019-05-06 13:21:10.662003
2,SY,2019-05-06 13:21:10.672012
3,TC,2019-05-06 13:21:10.673014
4,MC,2019-05-06 13:26:51.369007
3,JE,2019-05-06 13:26:51.369008
5,TD,2019-05-06 13:26:51.370011
3,ES,2019-05-06 13:26:51.371013
4,TC,2019-05-06 13:26:51.372014
2,DC,2019-05-06 13:31:20.496065
2,PC,2019-05-06 13:31:20.499068
4,TD,2019-05-06 13:31:20.500070
5,TC,2019-05-06 13:31:20.503073
4,BF,2019-05-06 13:31:20.504074
4,BK,2019-05-06 13:37:19.565002
3,MC,2019-05-06 13:37:39.990006
3,BF,2019-05-06 13:37:39.996014
3,BK,2019-05-06 13:47:16.218001
1,BR,2019-05-06 13:47:16.219002
1,MC,2019-05-06 13:47:16.220005
2,JE,2019-05-06 13:47:16.220006
2,SM,2019-05-06 13:47:16.221008
3,TD,2019-05-06 13:47:16.221009
2,ES,2019-05-06 13:47:16.222011
2,BF,2019-05-06 13:47:16.223013
2,MY,2019-05-06 13:47:16.223014
2,BK,2019-05-06 13:54:19.108002
1,DC,2019-05-06 13:54:19.110005
2,TD,2019-05-06 13:54:19.114010
1,SY,2019-05-06 13:54:19.115011
4,TC,2019-05-06 13:54:19.116013
1,BF,2019-05-06 13:54:19.116014
1,MY,2019-05-06 13:54:19.117015
1,BK,2019-05-06 14:00:55.395003
1,JE,2019-05-06 14:00:55.397008
