date,date_int,hall_id,name,is_weekend,is_family_dinner,start,end,average_occupancy,max_occupancy
2019-06-20,51,BF,Lunch,0,0,11:30,13:30,1.5718373572222224,2
2019-06-20,51,ES,Lunch,0,0,11:30,13:30,1.2627994398611109,3
2019-06-20,51,MC,Lunch,0,0,11:30,13:30,1.3738440256944446,3
2019-06-20,51,PC,Lunch,0,0,11:30,13:30,2.5256008275000004,6
2019-06-20,51,BF,Dinner,0,0,17:00,19:30,2.1488982207777774,4
2019-06-20,51,DC,Dinner,0,0,17:00,19:30,4.441313443777778,7
2019-06-20,51,ES,Dinner,0,0,17:00,20:00,11.690215557037039,4
2019-06-20,51,MC,Dinner,0,0,17:00,20:00,2.4734044441666665,4
2019-06-20,51,PC,Dinner,0,0,17:00,19:30,5.475691220222222,10
2019-06-21,52,MC,Breakfast,0,0,07:30,10:30,1.7385487960185189,3
2019-06-21,52,BF,Breakfast,0,0,08:00,11:00,0.7281062038888889,3
2019-06-21,52,DC,Breakfast,0,0,08:00,10:30,3.810720889333333,9
2019-06-21,52,PC,Breakfast,0,0,08:00,11:00,4.031145092777778,10
2019-06-21,52,DC,Lunch,0,0,11:00,13:30,2.681269108888889,6
2019-06-21,52,BF,Lunch,0,0,11:30,13:30,2.7771481908333335,5
2019-06-21,52,MC,Lunch,0,0,11:30,13:30,2.9045134705555555,4
2019-06-21,52,PC,Lunch,0,0,11:30,13:30,5.4076337429166665,8
2019-06-21,52,BF,Dinner,0,0,17:00,19:30,1.5131653315555558,3
2019-06-21,52,DC,Dinner,0,0,17:00,19:30,3.272473110555555,9
2019-06-21,52,MC,Dinner,0,0,17:00,20:00,1.928103054351852,3
2019-06-21,52,PC,Dinner,0,0,17:00,19:30,3.866230664777778,8
2019-06-22,53,MC,Breakfast,1,0,08:00,10:30,1.773466557111111,4
2019-06-22,53,BF,Lunch,1,0,11:00,13:30,0.6172201086666668,4
2019-06-22,53,DC,Lunch,1,0,11:00,13:30,1.1224378871111111,7
2019-06-22,53,MC,Lunch,1,0,11:00,13:30,1.084002221111111,3
2019-06-22,53,PC,Lunch,1,0,11:00,13:30,1.1596035523333332,7
2019-06-22,53,BF,Dinner,1,0,17:00,19:00,1.7223477745833333,3
2019-06-22,53,DC,Dinner,1,0,17:00,19:00,5.635242058194445,10
2019-06-22,53,MC,Dinner,1,0,17:00,19:00,1.425891547638889,2
2019-06-22,53,PC,Dinner,1,0,17:00,19:00,6.8500477690277775,10
2019-06-22,53,TC,Dinner,1,0,17:00,19:00,1.6512562929166665,6
2019-06-23,54,MC,Breakfast,1,0,08:00,10:30,1.263743111111111,2
2019-06-23,54,BF,Lunch,1,0,11:00,13:30,0.6542550011111111,1
2019-06-23,54,DC,Lunch,1,0,11:00,13:30,1.7980157813333333,8
2019-06-23,54,MC,Lunch,1,0,11:00,13:30,1.5575956706666667,3
2019-06-23,54,PC,Lunch,1,0,11:00,13:30,1.7288291158888889,5
2019-06-23,54,TC,Lunch,1,0,11:00,13:30,1.6419077786666665,4
2019-06-23,54,BF,Dinner,1,1,17:00,19:00,1.1063136097222221,2
2019-06-23,54,DC,Dinner,1,1,17:00,19:00,5.2924726373611115,9
2019-06-23,54,GH,Dinner,1,1,17:00,19:00,3.866034997777778,10
2019-06-23,54,MC,Dinner,1,1,17:00,19:00,2.153569303888889,4
2019-06-23,54,PC,Dinner,1,1,17:00,19:00,5.9461459691666665,10
2019-06-23,54,SM,Dinner,1,1,17:00,19:00,1.7420772179166668,5
2019-06-23,54,TC,Dinner,1,1,17:00,19:00,3.8745759709722223,8
2019-06-24,55,MC,Breakfast,0,0,07:30,10:30,1.9727538875000001,3
2019-06-24,55,SM,Breakfast,0,0,07:30,10:30,0.6575843511111111,1
2019-06-24,55,BF,Breakfast,0,0,08:00,11:00,0.9510153705555556,2
2019-06-24,55,DC,Breakfast,0,0,08:00,10:30,4.810988220666666,10
2019-06-24,55,GH,Breakfast,0,0,08:00,11:00,0.7810346296296297,1
2019-06-24,55,PC,Breakfast,0,0,08:00,11:00,7.199291203888889,10
2019-06-24,55,TC,Breakfast,0,0,08:00,11:00,1.1876731487037038,4
2019-06-24,55,DC,Lunch,0,0,11:00,13:30,5.116368764666667,10
2019-06-24,55,BF,Lunch,0,0,11:30,13:30,1.3585730516666668,2
2019-06-24,55,BR,Lunch,0,0,11:30,13:30,3.0638361093055555,4
2019-06-24,55,GH,Lunch,0,0,11:30,14:30,1.5058139812037037,3
2019-06-24,55,MC,Lunch,0,0,11:30,13:30,4.299501096388889,6
2019-06-24,55,PC,Lunch,0,0,11:30,13:30,6.685617618194445,10
2019-06-24,55,SM,Lunch,0,0,11:30,13:30,1.09841638625,2
2019-06-24,55,TC,Lunch,0,0,11:30,15:00,2.5803890313492066,8
2019-06-24,55,BF,Dinner,0,0,17:00,19:30,1.307903776111111,2
2019-06-24,55,BR,Dinner,0,0,17:00,19:30,16.141737552333336,10
2019-06-24,55,DC,Dinner,0,0,17:00,19:30,4.931516999111111,10
2019-06-24,55,GH,Dinner,0,0,17:00,19:30,3.090629999666666,10
2019-06-24,55,MC,Dinner,0,0,17:00,20:00,3.184891942407407,5
2019-06-24,55,PC,Dinner,0,0,17:00,19:30,20.253633440555554,10
2019-06-24,55,SM,Dinner,0,0,17:00,19:30,1.9031427764444444,7
2019-06-24,55,TC,Dinner,0,0,17:00,19:30,10.125767331555556,8
2019-06-25,56,MC,Breakfast,0,0,07:30,10:30,1.8423073138888888,3
2019-06-25,56,SM,Breakfast,0,0,07:30,10:30,1.3662263894444444,7
2019-06-25,56,BF,Breakfast,0,0,08:00,11:00,1.1020700001851853,3
2019-06-25,56,DC,Breakfast,0,0,08:00,10:30,4.300897666222222,8
2019-06-25,56,GH,Breakfast,0,0,08:00,11:00,1.2799974080555556,9
2019-06-25,56,DC,Lunch,0,0,11:00,13:30,2.939099775111111,8
2019-06-25,56,BF,Lunch,0,0,11:30,13:30,1.3912087476388888,3
2019-06-25,56,GH,Lunch,0,0,11:30,14:30,2.960698888888889,9
2019-06-25,56,MC,Lunch,0,0,11:30,13:30,2.8424958316666666,5
2019-06-25,56,SM,Lunch,0,0,11:30,13:30,2.178647218611111,6
2019-06-25,56,BF,Dinner,0,0,17:00,19:30,1.2766931098888887,2
2019-06-25,56,DC,Dinner,0,0,17:00,19:30,3.245062665777778,10
2019-06-25,56,GH,Dinner,0,0,17:00,19:30,2.0460301101111114,5
2019-06-25,56,MC,Dinner,0,0,17:00,20:00,2.5892181466666666,4
