crowdedness,dhall,datetime
0,PM,2019-05-05 01:34:59.047015
0,BK,2019-05-05 01:36:08.982002
0,BR,2019-05-05 01:36:08.982003
0,GH,2019-05-05 01:36:08.982004
0,DC,2019-05-05 01:36:08.983005
0,MC,2019-05-05 01:36:08.983006
0,JE,2019-05-05 01:36:08.983007
0,PC,2019-05-05 01:36:08.984008
0,SM,2019-05-05 01:36:08.984009
0,TD,2019-05-05 01:36:08.984010
0,SY,2019-05-05 01:36:08.984011
0,ES,2019-05-05 01:36:08.984012
0,TC,2019-05-05 01:36:08.985013
0,BF,2019-05-05 01:36:08.985014
0,PM,2019-05-05 01:36:08.985015
0,BK,2019-05-05 01:36:26.953002
0,BR,2019-05-05 01:36:26.954003
0,GH,2019-05-05 01:36:26.954004
0,DC,2019-05-05 01:36:26.955005
0,MC,2019-05-05 01:36:26.955006
0,JE,2019-05-05 01:36:26.955007
0,PC,2019-05-05 01:36:26.956008
0,SM,2019-05-05 01:36:26.956009
0,TD,2019-05-05 01:36:26.956010
0,SY,2019-05-05 01:36:26.956011
0,ES,2019-05-05 01:36:26.956012
0,TC,2019-05-05 01:36:26.957013
0,BF,2019-05-05 01:36:26.957014
0,PM,2019-05-05 01:36:26.957015
0,BK,2019-05-05 01:37:58.626001
0,BR,2019-05-05 01:37:58.627002
0,GH,2019-05-05 01:37:58.627003
0,DC,2019-05-05 01:37:58.627004
0,MC,2019-05-05 01:37:58.627005
0,JE,2019-05-05 01:37:58.628006
0,PC,2019-05-05 01:37:58.628007
0,SM,2019-05-05 01:37:58.628008
0,TD,2019-05-05 01:37:58.628009
0,SY,2019-05-05 01:37:58.628010
0,ES,2019-05-05 01:37:58.629011
0,TC,2019-05-05 01:37:58.629012
0,BF,2019-05-05 01:37:58.629013
0,PM,2019-05-05 01:37:58.629014
0,BK,2019-05-05 01:38:07.551002
0,BR,2019-05-05 01:38:07.552003
0,GH,2019-05-05 01:38:07.552004
0,DC,2019-05-05 01:38:07.553005
0,MC,2019-05-05 01:38:07.553006
0,JE,2019-05-05 01:38:07.553007
0,PC,2019-05-05 01:38:07.554008
0,SM,2019-05-05 01:38:07.554009
0,TD,2019-05-05 01:38:07.554010
0,SY,2019-05-05 01:38:07.554011
0,ES,2019-05-05 01:38:07.555012
0,TC,2019-05-05 01:38:07.555013
0,BF,2019-05-05 01:38:07.555014
0,PM,2019-05-05 01:38:07.555015
0,BK,2019-05-05 01:38:13.378002
0,BR,2019-05-05 01:38:13.378003
0,GH,2019-05-05 01:38:13.378004
0,DC,2019-05-05 01:38:13.378005
0,MC,2019-05-05 01:38:13.379006
0,JE,2019-05-05 01:38:13.379007
0,PC,2019-05-05 01:38:13.379008
0,SM,2019-05-05 01:38:13.379009
0,TD,2019-05-05 01:38:13.380010
0,SY,2019-05-05 01:38:13.380011
0,ES,2019-05-05 01:38:13.380012
0,TC,2019-05-05 01:38:13.380013
0,BF,2019-05-05 01:38:13.380014
0,PM,2019-05-05 01:38:13.380015
0,BK,2019-05-05 01:38:19.051002
0,BR,2019-05-05 01:38:19.051003
0,GH,2019-05-05 01:38:19.051004
0,DC,2019-05-05 01:38:19.052005
0,MC,2019-05-05 01:38:19.052006
0,JE,2019-05-05 01:38:19.052007
0,PC,2019-05-05 01:38:19.052008
0,SM,2019-05-05 01:38:19.053009
0,TD,2019-05-05 01:38:19.053010
0,SY,2019-05-05 01:38:19.053011
0,ES,2019-05-05 01:38:19.053012
0,TC,2019-05-05 01:38:19.053013
0,BF,2019-05-05 01:38:19.054014
0,PM,2019-05-05 01:38:19.054015
0,BK,2019-05-05 01:38:27.928002
0,BR,2019-05-05 01:38:27.928003
0,GH,2019-05-05 01:38:27.928004
0,DC,2019-05-05 01:38:27.929005
0,MC,2019-05-05 01:38:27.929006
0,JE,2019-05-05 01:38:27.929007
0,PC,2019-05-05 01:38:27.930008
0,SM,2019-05-05 01:38:27.930009
0,TD,2019-05-05 01:38:27.930010
0,SY,2019-05-05 01:38:27.930011
0,ES,2019-05-05 01:38:27.930012
